first_name,last_name,id,P/H,P/H_Extras
Fletcher,Chantrell,25895,89.81,35.56
Jean,Mathivet,45657,52.47,79.16
Olin,Gajownik,90425,92.77,66.88
Heidie,Lyal,89767,92.88,35.13
Harmonie,Pressnell,88245,75.93,96.2
Francine,Fettiplace,54295,87.79,43.98
Pauly,Gilbanks,59531,92.22,43.08
Dana,Shugg,47589,52.41,89.56
Spencer,Robecon,38817,76.84,30.6
Candide,Ohlsen,31116,39.53,64.38
Michel,Tidmas,82831,19,26.93
Milly,Peartree,61487,77.69,67.48
Lauree,Itscowicz,56412,57.66,30.76
Stern,Allden,65455,95.4,52.12
Mandy,Garman,14184,80.1,78.96
Kristen,Jurgensen,25764,61.04,47.89
Silva,Paolotto,70405,92.46,58.94
Irene,Layborn,75677,44.67,41.4
Dyann,Kurt,26991,78.5,63.39
Tracey,Greenwell,85534,52.51,32.51
Kathrine,Shadfourth,18281,17.75,75.39
Amery,Cleaton,65881,12.37,45.59
Melantha,McCombe,43600,67.15,80.24
Diarmid,Jerok,43995,14.32,62.59
Nealy,Harriot,33717,58.06,23.69
Keelby,Burden,11253,38.5,56.59
Raven,Petch,28659,82.68,88.31
Halimeda,Davidge,82890,39.14,65.05
Lizabeth,Brant,92797,60.01,90.61
Umeko,Regan,52051,97.69,41.71
Coraline,Stroobant,77710,11.31,82.61
Janeta,Roggieri,22108,11.07,57.79
Olympia,Sammon,82269,50.96,55.04
Decca,Firebrace,70709,89.85,48.41
Jaquelin,Coumbe,87753,41.91,43.54
Maryrose,Cowperthwaite,86478,58.74,48.7
Burl,Antecki,55119,77.3,86.64
Edythe,Dymond,35035,55.47,33.9
Nicolle,McElane,30030,18.16,37.65
Annabal,Meddows,25511,34.7,38.04
Elsey,Bulbeck,46724,87.16,68.19
Braden,Reder,85439,93.71,46.81
Gwenneth,Huggens,33396,74.04,23.48
Rycca,Woolstenholmes,91387,49.79,82.33
Bernadene,Blockwell,80018,48.02,62.3
Den,Dabels,28268,64.86,49.55
Oswell,Grebbin,43970,96.05,29.65
Sean,De la croix,28567,46.47,82.12
Loralee,Housby,12766,92.97,59.24
Klarrisa,Carruth,97594,54.61,74.85
Val,Varian,26161,96.36,43.95
Jeremiah,Simmgen,52550,84.6,62.04
Scarlet,Crockford,64518,65.11,34.47
Chrissie,Portwaine,15196,41.75,46.11
Ignatius,Sedwick,18312,86.39,95.02
Tobe,Stenbridge,58618,40.88,71.75
Myer,Fishbourn,37830,10.39,83.59
Kelby,De Nisco,81164,24.72,84.79
Katha,Warlock,33726,20.13,35.25
Kari,Nouch,63304,33.35,69.22
Adrianna,Vogeller,98459,67.2,54.74
Garald,Albiston,55561,67.46,67.81
Charlene,Sabates,75417,16.92,79
Kermit,Vasyutichev,38282,70.86,23.87
Gregorius,Redfield,11719,46.31,73.2
Clarette,McLaine,85664,58.84,20.11
Tamara,Blackmoor,58347,63.92,95.14
Carmella,Kitchenman,41602,29.62,89.79
Linus,Romi,76163,42.2,84.96
Felike,Crookall,73711,19.1,39.34
Bradley,Goodanew,48896,14.08,24.7
Brittni,Shankland,95435,91.36,65.52
Lenette,Peat,34519,79.64,66.74
Evangeline,Aynold,17641,86.88,55.2
Jecho,Starrs,49660,90.92,74.82
Morena,Dacombe,12801,55.43,26.27
Dionysus,Radband,37821,49.16,61.84
Claudine,Osgood,64571,49.87,37.73
Correna,Coalburn,51273,13.45,88.84
Britt,Farney,97000,33.91,21.97
Tomas,Braunle,26458,88.06,45.56
Alane,Tressler,24184,82.67,29.18
Melisenda,Witherop,91640,94.71,83.22
Harlen,Mursell,14395,36.51,54.5
Costa,Stanbrooke,13581,87.68,57.56
Abby,Cabral,98692,71.65,63.44
Gonzalo,Maudlin,29555,71.07,98.01
Henrietta,Treswell,10474,24.19,68.67
Holly,Thomke,46158,78.24,99.45
Eustace,Tireman,34723,27.9,27.03
Fayth,Latta,74810,24.57,99.73
Denna,Tacker,44899,97.84,83.61
Nikki,Purdon,27443,86.7,46.59
Gage,Mertgen,96607,67.57,27.26
Pammi,Fewkes,64411,77.95,63.1
Nicolle,Stoll,26100,90.3,30.02
Zena,Woodger,53546,27.74,39.22
Blakelee,Forsaith,29442,27.06,90.36
Daniele,O'Hederscoll,76339,91.94,60.93
Pattie,Godwyn,16553,42.37,33.65
Eduardo,Simnett,68984,62.53,32.76
Nanete,Dieton,26479,87.44,90.37
Eolande,Sterman,98876,73.81,79.23
Darren,Blackborow,27874,92.05,72.03
Quinton,Genicke,41728,55.96,79.21
Hestia,Potier,44795,57.16,40.01
Wells,Cleland,54581,49.81,82.51
Dwayne,Jolly,98137,10.32,95.66
Ricki,Korneev,54953,44.24,57.36
Vince,Sebrook,39290,96.72,82.03
Donaugh,Trinkwon,81966,87.43,31.02
Adiana,Hearson,79436,14.01,84.87
Sherwin,Durrant,80155,56.29,19.52
Currie,Bidgood,84425,73.93,74.34
Babs,Cundey,51600,68.75,45.15
Jermain,Maharg,58228,38.03,32.73
Florina,Natalie,10409,19.4,28.22
Wiatt,Manuelli,20374,93.05,79.43
Shina,Di Claudio,80482,71.86,76.35
Imelda,Wallice,49407,22.32,69.57
Mikaela,Grube,36615,76.08,80.34
Luce,Southon,95915,28.93,80.88
Feodora,Patsall,28310,45.9,55.99
Willie,Shwalbe,57801,49.81,74.74
Ddene,Kinworthy,33210,41.85,81.84
