id;Full_name;Department;Hora_entrada;Hora_salida;worked_hours;dias_trabajados;Horas_extra_diurnas;Horas_extra_nocturnas;Ausencias;salario_base;Valor_hora_sueldo;pago_horas_extra_diurnas;pago_horas_extra_nocturnas;auxilio_transporte;deduccion_salud;Total_devengado;deduccion_pension;Total_decucciones;Total_neto_a_pagar
1;Wendye Blyth;Research and Development;9:03;17:26:00;8:23:00;18;7;15;2;2657469;18454.64583;161478.151;346024.6094;0;106298.76;3164971.76;106298.76;212597.52;2952374.24
2;Cello Fillingham;Product Management;9:16;17:14:00;7:58:00;20;12;4;1;4951039;30943.99375;464159.9063;154719.9688;0;198041.56;5569918.875;198041.56;396083.12;5173835.755
3;Tiphani Blackshaw;Legal;9:03;16:57:00;7:54:00;20;4;12;1;22481634;140510.2125;702551.0625;2107653.188;0;899265.36;25291838.25;899265.36;1798530.72;23493307.53
4;Reggy Cotilard;Legal;9:15;16:41:00;7:26:00;18;20;3;2;25637821;178040.4236;4451010.59;667651.5885;0;1025512.84;30756483.18;1025512.84;2051025.68;28705457.5
5;Arte Catterall;Support;9:02;17:08;8:06:00;20;14;9;0;15088838;94305.2375;1650341.656;1060933.922;0;603553.52;17800113.58;603553.52;1207107.04;16593006.54
6;Odell Skewis;Business Development;9:07;16:45;7:38:00;18;16;8;0;1469438;10204.43056;204088.6111;102044.3056;162000;58777.52;1937570.917;58777.52;117555.04;1820015.877
7;Josepha Burgyn;Sales;9:11;17:06;7:55:00;18;18;0;1;19060136;132362.0556;2978146.25;0;0;762405.44;22038282.25;762405.44;1524810.88;20513471.37
8;Ody Pressman;Legal;9:09;16:47;7:38:00;20;12;15;2;18003303;112520.6438;1687809.656;2109762.07;0;720132.12;21800874.73;720132.12;1440264.24;20360610.49
9;Vidovik Stimpson;Services;9:12;17:17;8:05:00;20;17;15;2;18976917;118605.7313;2520371.789;2223857.461;0;759076.68;23721146.25;759076.68;1518153.36;22202992.89
10;Coretta Thompson;Legal;9:14;16:44;7:30:00;18;5;13;0;8975196;62327.75;389548.4375;1012825.938;0;359007.84;10377570.38;359007.84;718015.68;9659554.695
11;Arri Huet;Sales;8:48;16:54;8:06:00;18;9;0;1;25334361;175933.0625;1979246.953;0;0;1013374.44;27313607.95;1013374.44;2026748.88;25286859.07
12;Pattie Queyeiro;Business Development;8:52;16:53;8:01:00;19;14;4;0;14833396;97588.13158;1707792.303;487940.6579;0;593335.84;17029128.96;593335.84;1186671.68;15842457.28
13;Honor Conant;Engineering;9:06;17:06;8:00:00;20;1;10;0;3706481;23165.50625;28956.88281;289568.8281;0;148259.24;4025006.711;148259.24;296518.48;3728488.231
14;Lindy Claricoats;Human Resources;8:58;16:42;7:44:00;19;4;7;2;28766025;189250.1645;946250.8224;1655938.939;0;1150641;31368214.76;1150641;2301282;29066932.76
15;Culley Pizey;Marketing;8:43;17:22;8:39:00;20;0;13;2;21140846;132130.2875;0;2147117.172;0;845633.84;23287963.17;845633.84;1691267.68;21596695.49
16;Alano Cesconi;Sales;9:17;17:28;8:11:00;20;13;2;2;2106716;13166.975;213963.3438;32917.4375;162000;84268.64;2515596.781;84268.64;168537.28;2347059.501
17;Zaria Mundee;Research and Development;8:57;16:57;8:00:00;19;2;8;0;13504950;88848.35526;222120.8882;888483.5526;0;540198;14615554.44;540198;1080396;13535158.44
18;Theadora Izak;Marketing;9:05;17:18;8:13:00;19;2;10;2;12174307;80094.125;200235.3125;1001176.563;0;486972.28;13375718.88;486972.28;973944.56;12401774.32
19;Susi Girardini;Product Management;9:01;17:23;8:22:00;18;14;4;1;16488619;114504.2986;2003825.226;572521.4931;0;659544.76;19064965.72;659544.76;1319089.52;17745876.2
20;Cassandre Bridgestock;Services;8:50;17:06;8:16:00;19;8;10;1;28762543;189227.2566;1892272.566;2365340.707;0;1150501.72;33020156.27;1150501.72;2301003.44;30719152.83
21;Ranice Couling;Legal;8:53;17:31;8:38:00;20;11;8;0;19834456;123965.35;1704523.563;1239653.5;0;793378.24;22778633.06;793378.24;1586756.48;21191876.58
22;Dolph Shitliffe;Services;8:41;17:15;8:34:00;20;1;10;0;3972812;24830.075;31037.59375;310375.9375;0;158912.48;4314225.531;158912.48;317824.96;3996400.571
23;Jojo Smale;Sales;8:40;16:32;7:52:00;18;3;12;0;1372486;9531.152778;35741.82292;142967.2917;162000;54899.44;1713195.115;54899.44;109798.88;1603396.235
24;Tull Rice;Accounting;9:03;17:37;8:34:00;18;0;1;2;7135593;49552.72917;0;61940.91146;0;285423.72;7197533.911;285423.72;570847.44;6626686.471
25;Gilberta Becke;Business Development;9:08;16:39;7:31:00;18;17;7;2;16905946;117402.4028;2494801.059;1027271.024;0;676237.84;20428018.08;676237.84;1352475.68;19075542.4
